fire_record,IMD_score,population,White,mixed/multiple_ethnic_groups,Asian/Asian_British,Black/African/Caribbean/Black British,other_ethnic_group,Household_spaces_with_no_usual_residents,Household_Median_Annual_Household_Income_estimate_2012
0,15.58,71.37,66.92,5.32,18.47,6.5,2.79,1.96,30009.96
0,13.5,50.5,59.13,5.13,28.04,3.85,3.85,1.98,40187.05
1,4.06,29.78,59.54,3.22,32.5,1.45,3.29,1.17,55676.93
0,18.23,91.78,54.12,5.03,24.95,6.85,9.05,4.9,29327.04
0,5.53,55.61,55.94,2.18,36.66,1.85,3.37,4.41,54702.21
0,8.96,2.91,81.16,2.07,12.91,1.17,2.69,7.4,66249.97
0,3.96,13.42,77.19,3.98,15.21,1.09,2.53,4.05,60016.58
0,10.93,51.04,68.1,3.02,12.54,10.87,5.48,5.33,30133.73
0,8.58,31.62,66.98,5.92,20.94,2.99,3.17,1.39,46199.06
0,4.65,42.8,71.68,2.03,21.68,1.54,3.08,1.64,56931.37
0,15.48,61.38,66.93,5.8,18.72,4.01,4.55,3.35,30610.26
0,15.13,70.71,74.19,5.45,11.32,6.35,2.69,1.45,31014.88
0,23.9,61.78,70.59,5.16,12.73,8.78,2.74,2.53,27181.58
1,22.72,59.84,77.85,3.08,9.75,6.48,2.83,1.11,27000.07
0,13.04,48.37,72.15,5.16,15.81,4.97,1.91,1.9,32808.36
0,38.33,65.83,58.12,7.1,13.04,18.38,3.36,2.17,21614.07
0,19.94,7.81,79.38,4.11,11.05,3.6,1.86,3.02,30728.07
0,32.94,64.88,61.08,6.54,13.21,14.79,4.38,0.66,22642.79
0,11.32,50.5,80.16,3.95,10.91,3.14,1.84,3.38,36272.06
0,7.61,62.13,78.98,4.18,11.79,2.85,2.21,5.17,44789.51
0,12.24,50.65,76.61,5.19,10.94,4.13,3.13,2.61,33894.5
0,13.31,85.46,60.5,5.02,26.31,4.03,4.14,1.15,41493.45
0,12.11,79.78,62.16,5.86,23.9,3.87,4.22,2.26,35517.63
0,9.01,65.93,56.97,4.18,28.1,7.18,3.56,2.46,30939.73
0,11.83,72.33,64.46,5.41,21.36,3.26,5.52,3.93,34472.52
0,17,115.57,56.72,5.2,28.03,5.09,4.98,3.93,30303.68
0,12.25,94.35,64.09,3.92,23.47,4.47,4.04,2.2,36536.75
0,7.06,52.16,59.39,4.94,29.95,2.34,3.38,3.3,49882.38
0,15.6,85.98,56.83,6.18,25.98,5.05,5.96,2.33,30884.74
0,6.81,73.76,57.82,5.36,28.27,2.36,6.19,1.46,47682.73
1,13.53,91.61,69.15,4.95,16.45,5.01,4.43,2.36,35722.69
0,27.86,25.98,40.31,4.59,35.73,11.04,8.33,3.04,24207.82
1,14.05,114.46,36.79,3.18,49.35,6.9,3.77,1.59,28051.89
0,23.33,33.4,44.59,3.93,34.56,12.33,4.59,2.93,26361.9
0,31.83,30.23,48.48,6.6,21.7,18.54,4.68,2.19,19227.61
0,13.9,65.23,49.34,4.06,33.59,7.74,5.27,5.06,35527.72
0,19.22,67.29,57.76,3.84,26.86,5.91,5.62,5.4,29770.08
0,11.07,47.91,80.45,1.9,8.33,4.29,5.02,7.48,51603.9
0,24.93,122.85,46.83,4.96,32.3,11.42,4.49,1.39,24525.92
0,19.93,90.28,40.26,5.22,39.13,8.5,6.89,4,26248.61
0,10.68,76.09,48.74,3.91,36.57,6.76,4.02,4.64,37200.24
0,32.73,34.12,59.48,7.81,18.54,10.09,4.08,0.97,24803.61
1,19.87,59.77,51.38,6.7,24.83,10.55,6.53,1.58,29890.26
0,10.85,96.48,58.21,5.83,25.42,4.09,6.45,2.09,35822.1
0,14.71,68.53,54.89,3.97,31.58,4.51,5.05,0.97,34819.83
0,9.92,98.24,69.07,5,20,3,2.93,1.31,40706.06
0,8.72,66.95,71.86,5.42,14.85,5.02,2.85,0.95,38534.33
0,14.41,94.86,68.44,4.28,15.96,4.83,6.48,2.37,32491.45
0,14.87,85.58,69.77,5.47,15.96,3.84,4.95,2.76,31267.12
0,18.83,101.03,57.72,4.79,23.92,8.02,5.55,2.92,29725.88
0,13.76,68.24,70.1,5.38,15.62,5.66,3.25,0.76,34983.4
0,5.88,40.81,93.6,1.37,2.92,1.8,0.31,1.02,43467.65
0,11.97,50.09,89.65,1.7,2.47,5.64,0.54,1.09,34670
0,7.68,38.81,91.12,1.81,5.12,1.17,0.78,2.74,42276.77
0,11.4,27.74,92.5,1.15,3.78,2.03,0.54,1.97,36594.7
0,15.88,27.25,89.74,0.76,5.47,3.65,0.38,1.9,31178.98
0,17.87,61.27,89.25,1.81,5.89,2.66,0.39,1.91,29818.28
0,28.28,30.31,85.52,2.82,5.95,5.4,0.31,0.8,27714.63
0,16.09,57.12,75.87,2.81,10.73,9.35,1.24,3.32,30346.67
0,25.87,59.86,84.33,2.28,3.96,8.58,0.84,4.46,26812.86
0,12.99,63.02,78.58,2.05,9.31,8.88,1.18,2.88,32907.59
0,31.73,14.16,60.7,4.68,9.14,23.63,1.84,1.85,25593.03
0,31.36,108.08,56.36,4.24,13.89,23.33,2.17,4.34,24036.23
0,19.57,62.43,74.71,4.84,7.02,12.7,0.73,2.07,29333.68
1,18.89,104.68,74.01,1.77,10.62,12.45,1.14,2.53,29320.03
1,16.3,59.84,92.61,1.76,2.88,2.09,0.65,1.79,34324.03
0,12.83,65.89,91.81,0.8,4.66,2.4,0.33,2.21,31278.66
0,8.88,63.05,93.22,1.21,3.56,1.88,0.13,1.77,35917.69
0,8.92,74.18,93.54,1.76,3.26,0.94,0.5,1.23,35014.72
0,8.35,51.24,92.7,1.43,4.82,0.78,0.26,1.43,36074.24
0,6.11,72.13,93.1,1.8,2.24,2.49,0.37,1.67,38034.83
0,6.25,66.1,91.59,2.66,4.21,1.18,0.37,2.4,41840.32
0,9.66,47.93,91.62,2.47,4.19,1.54,0.18,0.79,36307.85
0,11.18,76.79,89.57,2.62,3.9,2.56,1.35,3.59,30769.04
0,4.98,50.34,91.76,2.03,4.39,1.22,0.61,1.51,48333.37
0,7.46,49.89,89.27,2.29,4.82,3.56,0.06,1.96,43478.66
0,7.89,55.57,91.87,1.8,4,1.8,0.53,1.88,38132.68
0,7.59,52.14,91.36,1.89,4.98,1.39,0.38,2.53,36484.3
1,14.76,47.4,88.38,2.98,5.21,2.6,0.83,4.38,32331.81
0,5.2,50.21,90.27,1.78,5.04,2.43,0.47,0.75,41961.62
